file,emotion,text
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,neu,excuse me .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,neu,is there a problem .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,neu,well what's  the problem let me change it .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,ang,that's out of control .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,neu,clearly . you know do you have like a supervisor or something .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,ang,i  don't understand why this is so complicated for people when they get here . it's just a simple form i just need an id .
Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,ang,yeah  do you  want . to see my supervisor huh yeah do you want to see my supervisor fine i'll be right back .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,sad,did you get the mail so you saw my letter .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,sad,yeah i know .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,sad,i don't know i . put in that request too they didn't .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,neu,i guess you know everybody has to make . sacrifices .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,sad,there's people that have given more though . you know .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,sad,i know .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,neu,there's babies over there though  that need mothers .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,sad,just you know kicking myself .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,sad,things just aren't what they seem .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,sad,if not me then who .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,sad,you'll videotape everything yeah .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,sad,maybe you . can . send it to me like . stream it yeah .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,sad,last month yeah .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,neu,i have to find sitters .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,sad,we've got friends that's why we moved . here . huh  because there . is a day care down the street .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,neu,and your mother is close by .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,sad,i'll send you lots of letters .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,sad,and i want lots and lots and lots of pictures .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,sad,i don't understand you've already done so much i don't know why do you have to go back .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,sad,i don't know how you can be okay with this i don't know why you're not . you're fine with it .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,sad,i just don't see why it has to be you .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,sad,what am i going to do huh .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,sad,yeah .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,neu,don't you guys have access to computers over there .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,sad,i just don't know how i'm going to do it without you .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,sad,i can't raise a baby by myself . how .
Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,neu,i know .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,hap,well . vegas was awesome .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,hap,and um i got married .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,hap,yeah  in the old town part .
